"Env1","Env2","Correlation","Trait","Overlap"
"HWWFHBN_2025_Brookings","HWWFHBN_2024_Brookings",0.462,"INC",10
"HWWFHBN_2022_Brookings","HWWFHBN_2023_Brookings",0.387,"INC",10
"RGON_2023_FHB","RGON_2022_FHB",0.296,"INC",10
"HWWFHBN_2021_Lincoln","HWWFHBN_2020_Lincoln",0.254,"INC",11
"HWWFHBN_2024_Brookings","HWWFHBN_2023_Brookings",0.227,"INC",16
"HWWFHBN_2015_Mead","HWWFHBN_2014_Lincoln",0.145,"INC",10
"HWWFHBN_2022_Lincoln","HWWFHBN_2022_Brookings",0.059,"INC",56
"HWWFHBN_2022_Brookings","RGON_2022_FHB",0.051,"INC",15
"HWWFHBN_2022_Lincoln","HWWFHBN_2021_Lincoln",-0.102,"INC",15
"HWWFHBN_2014_Brookings","HWWFHBN_2014_Lincoln",-0.124,"INC",14
"HWWFHBN_2013_Manhattan","HWWFHBN_2014_Brookings",-0.13,"INC",12
"HWWFHBN_2022_Brookings","HWWFHBN_2021_Lincoln",-0.136,"INC",15
"RGON_2023_FHB","HWWFHBN_2023_Brookings",-0.197,"INC",17
"HWWFHBN_2024_Brookings","RGON_2023_FHB",-0.259,"INC",18
"SRPN_2025_FHB","RGON_2023_FHB",-0.553,"INC",13
"HWWFHBN_2014_Fargo","HWWFHBN_2014_Lincoln",NA,"INC",14
"HWWFHBN_2014_Fargo","HWWFHBN_2014_Brookings",NA,"INC",47
"HWWFHBN_2013_Manhattan","HWWFHBN_2014_Fargo",NA,"INC",12
"HWWFHBN_2022_Brookings","HWWFHBN_2023_Brookings",0.859,"SEV",10
"HWWFHBN_2025_Brookings","HWWFHBN_2024_Brookings",0.853,"SEV",10
"HWWFHBN_2024_Brookings","HWWFHBN_2023_Brookings",0.708,"SEV",16
"HWWFHBN_2015_Mead","HWWFHBN_2014_Lincoln",0.435,"SEV",10
"SRPN_2025_FHB","RGON_2023_FHB",0.388,"SEV",14
"HWWFHBN_2021_Lincoln","HWWFHBN_2020_Lincoln",0.327,"SEV",11
"HWWFHBN_2014_Fargo","HWWFHBN_2014_Brookings",0.269,"SEV",48
"HWWFHBN_2014_Fargo","HWWFHBN_2014_Lincoln",0.238,"SEV",14
"RGON_2023_FHB","RGON_2022_FHB",0.119,"SEV",11
"HWWFHBN_2024_Brookings","RGON_2023_FHB",-0.004,"SEV",18
"HWWFHBN_2022_Lincoln","HWWFHBN_2022_Brookings",-0.02,"SEV",56
"HWWFHBN_2022_Lincoln","HWWFHBN_2021_Lincoln",-0.111,"SEV",15
"HWWFHBN_2022_Brookings","HWWFHBN_2021_Lincoln",-0.241,"SEV",15
"HWWFHBN_2022_Brookings","RGON_2022_FHB",-0.297,"SEV",15
"RGON_2023_FHB","HWWFHBN_2023_Brookings",-0.372,"SEV",17
"HWWFHBN_2014_Brookings","HWWFHBN_2014_Lincoln",-0.685,"SEV",14
"HWWFHBN_2013_Manhattan","HWWFHBN_2012_Manhattan",0.886,"DON",13
"HWWFHBN_2014_Fargo","HWWFHBN_2013_Manhattan",0.836,"DON",15
"HWWFHBN_2022_Brookings","HWWFHBN_2023_Brookings",0.784,"DON",10
"HWWFHBN_2010_Manhattan","HWWFHBN_2011_Manhattan",0.746,"DON",11
"HWWFHBN_2010_Manhattan","HWWFHBN_2009_Manhattan",0.684,"DON",10
"HWWFHBN_2022_Brookings","HWWFHBN_2021_Lincoln",0.659,"DON",15
"HWWFHBN_2024_Brookings","HWWFHBN_2023_Brookings",0.591,"DON",16
"HWWFHBN_2021_Lincoln","HWWFHBN_2020_Lincoln",0.502,"DON",11
"HWWFHBN_2014_Manhattan","HWWFHBN_2013_Manhattan",0.436,"DON",15
"HWWFHBN_2012_Manhattan","HWWFHBN_2011_Manhattan",0.417,"DON",12
"HWWFHBN_2014_Manhattan","HWWFHBN_2014_Fargo",0.4,"DON",47
"HWWFHBN_2022_Lincoln","HWWFHBN_2022_Brookings",0.168,"DON",55
"HWWFHBN_2014_Fargo","HWWFHBN_2014_Lincoln",0.132,"DON",10
"HWWFHBN_2014_Manhattan","HWWFHBN_2014_Lincoln",0.095,"DON",10
"HWWFHBN_2022_Lincoln","HWWFHBN_2021_Lincoln",-0.043,"DON",15
